Loaded 3382_T.npy: 4918 points
Loaded 4519_T.npy: 4918 points
Loaded 6501_T.npy: 4918 points
Loaded 6758_T.npy: 4918 points
Loaded 7203_T.npy: 4918 points
Loaded 7974_T.npy: 4918 points
Loaded 8306_T.npy: 4918 points
Loaded 9432_T.npy: 4918 points
Loaded 9984_T.npy: 4918 points
Loaded IDX_N225.npy: 4887 points
Total sliding windows: 1339
Train: 1005 samples, Val: 334 samples
Loading model from: model
Froze first 17 of 20 transformer layers
Total params: 231,289,280 | Trainable params: 64,081,360 (27.7%)
Using AdamW optimizer (lr=0.0001, weight_decay=0.01)
Gradient accumulation: 16 steps (effective batch = 128)
LR scheduler: cosine with 5-epoch warmup
  Epoch 22 step 20/126 | loss=0.003244 lr=6.16e-05
  Epoch 22 step 30/126 | loss=0.007761 lr=6.16e-05
  Epoch 22 step 40/126 | loss=0.004944 lr=6.11e-05
  Epoch 22 step 50/126 | loss=0.009443 lr=6.06e-05
  Epoch 22 step 60/126 | loss=0.006754 lr=6.06e-05
  Epoch 22 step 70/126 | loss=0.005142 lr=6.02e-05
  Epoch 22 step 80/126 | loss=0.005363 lr=5.97e-05
  Epoch 22 step 90/126 | loss=0.004868 lr=5.97e-05
  Epoch 22 step 100/126 | loss=0.007099 lr=5.92e-05
  Epoch 22 step 110/126 | loss=0.004395 lr=5.92e-05
  Epoch 22 step 120/126 | loss=0.004324 lr=5.87e-05
Epoch 22 train | loss=0.005526
Epoch 22 val   | loss=0.015849
  Epoch 23 step 10/126 | loss=0.006375 lr=5.82e-05
  Epoch 23 step 20/126 | loss=0.002483 lr=5.77e-05
  Epoch 23 step 30/126 | loss=0.004025 lr=5.77e-05
  Epoch 23 step 40/126 | loss=0.004904 lr=5.72e-05
  Epoch 23 step 50/126 | loss=0.007565 lr=5.67e-05
  Epoch 23 step 60/126 | loss=0.005899 lr=5.67e-05
  Epoch 23 step 70/126 | loss=0.006411 lr=5.62e-05
  Epoch 23 step 80/126 | loss=0.004285 lr=5.57e-05
  Epoch 23 step 90/126 | loss=0.005281 lr=5.57e-05
  Epoch 23 step 100/126 | loss=0.003350 lr=5.52e-05
  Epoch 23 step 110/126 | loss=0.008247 lr=5.52e-05
  Epoch 23 step 120/126 | loss=0.004079 lr=5.47e-05
Epoch 23 train | loss=0.005830
Epoch 23 val   | loss=0.014710
Updated best checkpoint at finetune_japan\checkpoints\run_glia_t2_r2a\best
  Epoch 24 step 10/126 | loss=0.014256 lr=5.42e-05
  Epoch 24 step 20/126 | loss=0.006567 lr=5.37e-05
  Epoch 24 step 30/126 | loss=0.002355 lr=5.37e-05
  Epoch 24 step 40/126 | loss=0.003494 lr=5.32e-05
  Epoch 24 step 50/126 | loss=0.005554 lr=5.27e-05
  Epoch 24 step 60/126 | loss=0.003509 lr=5.27e-05
  Epoch 24 step 70/126 | loss=0.004173 lr=5.22e-05
  Epoch 24 step 80/126 | loss=0.009031 lr=5.17e-05
